Group,Order,Movie,Year,File Name,Duration,Watched,IMDB Rating,Size,Size in GB
4,13,Timecrimes,2007,Timecrimes [2007].mkv,1:32:00,FALSE,7.1,718263009,0.67
4,14,Titus,1999,Titus [1999].mkv,2:42:00,FALSE,7.1,1197546988,1.12
4,15,Zero Dark Thirty,2012,Zero Dark Thirty [2012].mp4,2:37:00,FALSE,7.4,1074343734,1.00
5,1,Boyhood,2014,Boyhood [2014].mp4,2:43:00,FALSE,7.9,1047131753,0.98
5,2,Children of Men,2006,Children of Men [2006].mp4,1:49:00,FALSE,7.9,1612825757,1.50
5,3,Contagion,2011,Contagion [2011].mp4,1:46:00,FALSE,6.8,684266570,0.64
5,4,Dirty Rotten Scoundrels,1998,Dirty Rotten Scoundrels [1998].mp4,1:50:00,TRUE,7.4,1564954489,1.46
5,5,Mistress America,2015,Mistress America [2015].mp4,1:24:00,FALSE,6.7,694470350,0.65
5,6,Moonstruck,1987,Moonstruck [1987].mkv,1:42:00,FALSE,7.1,631782328,0.59
5,7,Rear Window,1954,Rear Window [1954].mkv,1:52:00,FALSE,8.5,1162724679,1.08
5,8,Shampoo,1975,Shampoo [1975].mkv,1:49:00,FALSE,6.4,1918692500,1.79
5,9,Silence,2016,Silence [2016].mp4,2:41:00,FALSE,7.2,1264970695,1.18
5,10,Songs From the Second Floor,2000,Songs From the Second Floor [2000].avi,1:40:00,FALSE,7.5,950314732,0.89
5,11,The Bad and The Beautiful,1952,The Bad and The Beautiful [1952].mkv,1:58:00,FALSE,7.8,4128076907,3.84
5,12,The City Of Lost Children,1995,The City Of Lost Children (1995)A.avi,1:52:00,FALSE,7.5,734904320,0.68
5,13,The Game,1997,The Game [1997].mp4,2:09:00,FALSE,7.7,917552819,0.85
5,14,The Guard,2011,The Guard [2011].mp4,1:36:00,FALSE,7.3,671946016,0.63
5,15,Freaks,1932,Freaks [1932].mkv,1:04:00,FALSE,7.8,1981338836,1.85
6,1,Delicatessen,1991,Delicatessen [1991].mp4,1:39:00,FALSE,7.5,1841552385,1.72
6,2,Fanny and och Alexander,1982,Fanny and och Alexander [1982].mkv,5:12:00,FALSE,8.1,756275707,0.70
6,3,In The Name Of The Father,1993,In The Name Of The Father [1993].mp4,2:13:00,FALSE,8.1,768316823,0.72
6,4,Murder by Death,1976,Murder by Death [1976].avi,1:34:00,FALSE,7.3,562209280,0.52
6,5,Phantom of the Opera,1925,Phantom of the Opera [1925].mp4,1:47:00,FALSE,7.5,463554725,0.43
6,6,Stereo,1969,Stereo [1969].mp4,1:05:00,FALSE,5.1,727906826,0.68
6,7,Swimming Pool,2003,Swimming Pool [2003].mkv,1:39:00,FALSE,6.7,1127192189,1.05
6,8,Tetro,2009,Tetro [2009].avi,2:07:00,FALSE,6.8,733943808,0.68
6,9,The Aerial,2007,The Aerial [2007].avi,1:39:00,FALSE,7.3,1381797888,1.29
6,10,The Court Jester,1955,The Court Jester (1955).avi,1:41:00,FALSE,7.8,739076096,0.69
6,11,The English Patient,1996,The English Patient [1996].mp4,2:42:00,FALSE,7.4,1044389734,0.97
6,12,The Science Of Sleep,2006,The Science Of Sleep [2006].avi,1:46:00,FALSE,7.2,724161388,0.67
6,13,The Whales Of August,1987,The Whales Of August [1987].mkv,1:30:00,FALSE,7.1,4294967295,4.00
6,14,Vertigo,1958,Vertigo [1958].mp4,2:08:00,FALSE,8.3,968316434,0.90
6,15,With Honors,1994,With Honors (1994).avi,1:43:00,FALSE,6.7,733184720,0.68
7,1,Fiddler On The Roof,1964,Fiddler On The Roof [1964].avi,3:21:00,FALSE,8.0,731998208,0.68
7,2,Firestarter,1984,Firestarter [1984].mp4,1:54:00,FALSE,6.0,1975327755,1.84
7,3,How to Steal a Million,1966,How to Steal a Million [1966].avi,2:03:00,FALSE,7.5,561328640,0.52
7,4,I'm Not There,2007,I'm Not There [2007].mp4,2:15:00,FALSE,6.8,1351290842,1.26
7,5,In the Heart of the Sea,2015,In the Heart of the Sea [2015].mkv,2:01:00,FALSE,6.9,1046332392,0.97
7,6,Love,2015,Love [2015].avi,2:10:00,FALSE,6.1,1523615546,1.42
7,7,Mr. Nobody,2009,Mr. Nobody [2009].mp4,2:18:00,FALSE,7.7,1048991198,0.98
7,8,The Artist,2011,The Artist [2011].mp4,1:40:00,FALSE,7.9,682527032,0.64
7,9,The Bridge on the River Kwai,1957,The Bridge on the River Kwai [1957].mp4,2:41:00,FALSE,8.1,1045334516,0.97
7,10,The Grey,2011,The Grey [2011].mp4,1:57:00,FALSE,6.7,788264442,0.73
7,11,The Nice Guys,2016,The Nice Guys [2016].avi,1:56:00,FALSE,7.4,732866560,0.68
7,12,This Must Be the Place,2011,This Must Be the Place [2011].mp4,1:58:00,FALSE,6.7,789078473,0.73
7,13,Throne of Blood,1957,Throne of Blood (1957).avi,1:50:00,FALSE,8.1,1460660224,1.36
7,14,Tom and Jerry - The Lost Dragon,2014,Tom and Jerry - The Lost Dragon [2014].mkv,0:57:00,TRUE,5.8,1272624967,1.19
7,15,Tree Of Life,2011,Tree Of Life (2011).mp4,2:18:00,FALSE,6.8,1516794393,1.41
